Semester|Japanese Foundation Course I DW|2019 Spring|2017AY|D building 1st floor|D106|KELLY Keiko|1st Year|Monday-1st Period[1 - 1]|Tuesday-1st Period[2 - 1]|Thursday-1st Period[4 - 1]|Friday-1st Period[5 - 1]|
Semester|Japanese Foundation Course I DX|2019 Spring|2017AY|D building 2nd floor|D202|TAKAO Mariko|1st Year|Monday-1st Period[1 - 1]|Tuesday-1st Period[2 - 1]|Thursday-1st Period[4 - 1]|Friday-1st Period[5 - 1]|
Semester|Japanese Intermediate Course AA|2019 Spring|2017AY|D building 2nd floor|D209|ISHIMURA Fumie|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Japanese Intermediate Course AB|2019 Spring|2017AY|D building 3rd floor|D303|ITAI Yoshie|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Japanese Intermediate Course AC|2019 Spring|2017AY|D building 2nd floor|D201|MAEDA Kyoko|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Japanese Intermediate Course AD|2019 Spring|2017AY|D building 2nd floor|D214|TERAMOTO Mayuko|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Japanese Intermediate Course AE|2019 Spring|2017AY|D building 3rd floor|D302|UCHIDA Risa|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Japanese Intermediate Course AF|2019 Spring|2017AY|D building 1st floor|D107|KURODA Hiromi|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Japanese Intermediate Course AG|2019 Spring|2017AY|D building 2nd floor|D213|TAKADA Ryo|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Japanese Intermediate Course AH|2019 Spring|2017AY|D building 3rd floor|D301|TAKAMATSU Chiemi|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Japanese Intermediate Course AI|2019 Spring|2017AY|D building 2nd floor|D203|INADA Eiichi|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|
Semester|Japanese Intermediate Course AJ|2019 Spring|2017AY|D building 2nd floor|D208|TOCHIHARA Reiko|1st Year|Monday-1st Period[1 - 1]|Tuesday-3rd Period[2 - 3]|Thursday-1st Period[4 - 1]|Friday-3rd Period[5 - 3]|
Semester|Korean I OA|2019 Spring|2017AY|FII building 3rd floor|FII 330|LEE Mihee|1st Year|Monday-1st Period[1 - 1]|Tuesday-5th Period[2 - 5]|Thursday-1st Period[4 - 1]|Friday-5th Period[5 - 5]|
Semester|Elementary English B EB|2019 Spring|2017AY|D building 3rd floor|CAI 5|KOBAYASHI Keiko|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Elementary English B EC|2019 Spring|2017AY|D building 3rd floor|CAI 4|HIKITA Toshio|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Elementary English B ED|2019 Spring|2017AY|D building 3rd floor|CAI 3|BERGER Maiko|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EI|2019 Spring|2017AY|FII building 2nd floor|CAI 25|GARRITY Darcy Beth|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EJ|2019 Spring|2017AY|D building 3rd floor|CAI 11|DIAZ Anthony|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EK|2019 Spring|2017AY|D building 3rd floor|CAI 11|DIAZ Anthony|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EL|2019 Spring|2017AY|D building 3rd floor|CAI 2|HENDRICKS Sara Ann|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EM|2019 Spring|2017AY|D building 3rd floor|CAI 8|TANG Kevin|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EN|2019 Spring|2017AY|D building 3rd floor|CAI 10|SEVIGNY Paul|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EX|2019 Spring|2017AY|D building 3rd floor|CAI 9|MANABE Shoichi|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Pre-Intermediate English B EY|2019 Spring|2017AY|FII building 2nd floor|CAI 24|SAUNDERS Misato|1st Year|Monday-1st Period[1 - 1]|Thursday-1st Period[4 - 1]|
Semester|Intermediate English A EB|2019 Spring|2017AY|FII building 2nd floor|CAI 20|MEDLEY Nicholas|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Intermediate English A EC|2019 Spring|2017AY|D building 3rd floor|CAI 1|BLACKWELL James|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Intermediate English A ED|2019 Spring|2017AY|FII building 2nd floor|CAI 23|STILP Lance Joseph|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Intermediate English A EE|2019 Spring|2017AY|FII building 2nd floor|CAI 27|GEDARRO Randy Yoshio|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Intermediate English A EF|2019 Spring|2017AY|FII building 2nd floor|CAI 26|APPLE Derrick Alan|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Intermediate English A EG|2019 Spring|2017AY|D building 3rd floor|CAI 7|KUMATAKA Kyle Masumi|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Intermediate English A EH|2019 Spring|2017AY|FII building 2nd floor|CAI 21|MILLER Nicholas|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A EC|2019 Spring|2017AY|F building 2nd floor|F206|MACK Lindsay|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A ED|2019 Spring|2017AY|F building 2nd floor|F212|MCMAHON Andrew Stephen|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A EE|2019 Spring|2017AY|F building 2nd floor|F205|KERR Joshua  Earl|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A EF|2019 Spring|2017AY|FII building 3rd floor|FII 325|OLDING Aaron Lee|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A EG|2019 Spring|2017AY|FII building 2nd floor|FII 224|HERRERA Girlie Ann R.|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A EH|2019 Spring|2017AY|FII building 3rd floor|FII 326|DOWNS Christian|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A EI|2019 Spring|2017AY|F building 2nd floor|F211|RENTLER Benjamin Robert|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
Semester|Upper Intermediate English A EJ|2019 Spring|2017AY|F building 2nd floor|F207|BEUCKENS Roger Todd|2nd Year|Monday-1st Period[1 - 1]|Tuesday-2nd Period[2 - 2]|Thursday-1st Period[4 - 1]|Friday-2nd Period[5 - 2]|
